Compound,Protons,Mass,PPM,Peak,Loss,Best,Intensity
C378H629N105O118S1 + Pt + NH3,2,8774.85822,28.34347789608461,8774.60951,6.715993323903619,True,54860650.99943977
C378H629N105O118S1 + Pt + H2O,2,8775.84293,140.54718274230535,8774.60951,11.875468587317162,False,48188565.261695765
C378H629N105O118S1 + Pt + NH3 + H2O,2,8792.87351,141.14498503686949,8791.63244,12.907217335083454,False,23586678.393564854
C378H629N105O118S1 + Pt + NH3NH3,2,8791.8888,29.158694545957285,8791.63244,6.79920719586319,True,27644781.558635972
C378H629N105O118S1 + Pt + NH3 + H2OH2O,2,8810.8888,81.26762421508926,8811.60484,2.00913803305682,False,5352276.005147995
C378H629N105O118S1 + Pt + NH3NH3 + H2O,2,8809.90409,193.04977473369644,8811.60484,2.0295976715560182,False,4991339.428065578
C378H629N105O118S1 + Pt + NH3 + K,3,8812.94927,152.5516553891604,8811.60484,17.079930624896164,False,4214320.119316639
C378H629N105O118S1 + Pt + NH3 + Cl,1,8811.32132,32.17678594438804,8811.60484,1.2855536616377816,True,5418022.61798145
C378H629N105O118S1 + Pt + H2O + Cl,1,8812.30603,79.56941095925258,8811.60484,1.5481692874089001,False,4802760.913273541
C378H629N105O118S1 + Pt + NH3NH3 + H2OH2O,2,8827.91938,35.70603518570446,8827.60417,7.3800315631274565,False,4740392.317637524
C378H629N105O118S1 + Pt + NH3NH3 + Cl,1,8828.3519,84.69644260545815,8827.60417,2.539087910830321,True,4718259.738672869
C378H629N105O118S1 + Pt + NH3 + H2O + Cl,1,8829.33661,196.21406188519632,8827.60417,6.609420033848865,False,4209151.883193417
C378H629N105O118S1 + Pt + H2O + ClCl + Na,1,8870.75107,205.84164583031975,8872.57704,1.8851229954050548,True,5764366.5942852255
C378H629N105O118S1 + Pt + H2O + Cl + Na + K,3,8872.37902,22.31870387338512,8872.57704,9.576643463210983,False,7290339.801235585
C378H629N105O118S1 + Pt + H2OH2O + Cl + NaNa,3,8874.2852,192.48423523735008,8872.57704,25.626673220843486,False,5864245.21996736
C378H629N105O118S1 + Pt + H2O + Na + KK,5,8874.00697,161.13690296101268,8872.57704,49.191519400322804,False,6429810.489449762
C378H629N105O118S1 + Pt + NH3 + H2OH2O + Na + K,4,8870.96179,182.08284944047114,8872.57704,9.553408357074337,False,6119855.133082915
C378H629N105O118S1 + Pt + NH3NH3 + H2OH2O + NaNa,4,8871.88326,78.19985674604175,8872.57704,17.4545408281349,False,7205032.131407004
C378H629N105O118S1 + Pt + NH3NH3 + NaNa + K,5,8873.94373,154.01156932969917,8872.57704,49.87675805916837,False,6558360.062255698
C378H629N105O118S1 + Pt + NH3 + Na + KK,5,8873.02226,50.17681540219739,8872.57704,36.458271815052,False,7310681.938870536
C378H629N105O118S1 + Pt + NH3 + Cl + Na + K,3,8871.39431,133.31951648989966,8872.57704,4.535355436483733,False,6849524.375686929
C378H629N105O118S1 + Pt + NH3NH3 + Cl + NaNa,3,8872.31578,29.446652540055425,8872.57704,9.621848161938997,False,7279457.807851853
